ICD	ICD10	ICD10cm	ICD_class1	ICD_class2	ICD_class3	Phecode	Phenotype	maternal	neonatal
M13	M13.8	M13.89	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other specified arthritis	716	Other arthropathies	Yes	
M13	M13.8	M13.832	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other specified arthritis	716	Other arthropathies	Yes	
M13	M13.8	M13.83	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other specified arthritis	716	Other arthropathies	Yes	
M13	M13.8	M13.85	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other specified arthritis	716	Other arthropathies	Yes	
M13	M13.8	M13.859	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other specified arthritis	716	Other arthropathies	Yes	
M13	M13.8	M13.821	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other specified arthritis	716	Other arthropathies	Yes	
M13	M13.8	M13.812	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other specified arthritis	716	Other arthropathies	Yes	
M13	M13.8	M13.839	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other specified arthritis	716	Other arthropathies	Yes	
M13	M13.8	M13.842	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other specified arthritis	716	Other arthropathies	Yes	
M13	M13.8	M13.86	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other specified arthritis	716	Other arthropathies	Yes	
M17	M17	M17	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Gonarthrosis [arthrosis of knee]	740.9	Osteoarthrosis NOS	Yes	
M17	M17.2	M17.2	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic gonarthrosis, bilateral	740.12	Osteoarthrosis, localized, secondary	Yes	
M17	M17.0	M17.0	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary gonarthrosis, bilateral	740.11	Osteoarthrosis, localized, primary	Yes	
M17	M17.9	M17.9	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Gonarthrosis, unspecified	740.1	Osteoarthritis; localized	Yes	
M17	M17.1	M17.1	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other primary gonarthrosis	740.11	Osteoarthrosis, localized, primary	Yes	
M17	M17.1	M17.10	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other primary gonarthrosis	740.11	Osteoarthrosis, localized, primary	Yes	
M17	M17.1	M17.11	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other primary gonarthrosis	740.11	Osteoarthrosis, localized, primary	Yes	
M17	M17.1	M17.12	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other primary gonarthrosis	740.11	Osteoarthrosis, localized, primary	Yes	
M17	M17.4	M17.4	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary gonarthrosis, bilateral	740.12	Osteoarthrosis, localized, secondary	Yes	
M17	M17.3	M17.31	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other post-traumatic gonarthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M17	M17.3	M17.30	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other post-traumatic gonarthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M17	M17.3	M17.32	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other post-traumatic gonarthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M17	M17.3	M17.3	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other post-traumatic gonarthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M17	M17.5	M17.5	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary gonarthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.0	M19.071	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.011	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.019	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.04	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.07	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.012	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.049	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.021	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.03	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.01	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.079	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.029	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.0	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.031	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.072	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.041	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.022	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.039	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.032	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.02	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.0	M19.042	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Primary arthrosis of other joints	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.9	M19.9	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Arthrosis, unspecified	740.9	Osteoarthrosis NOS	Yes	
M19	M19.9	M19.90	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Arthrosis, unspecified	740.9	Osteoarthrosis NOS	Yes	
M19	M19.9	M19.91	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Arthrosis, unspecified	740.11	Osteoarthrosis, localized, primary	Yes	
M19	M19.9	M19.91	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Arthrosis, unspecified	740.2	Osteoarthrosis, generalized	Yes	
M19	M19.9	M19.92	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Arthrosis, unspecified	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.9	M19.93	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Arthrosis, unspecified	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.232	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.22	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.219	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.27	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.24	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.241	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.2	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.271	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.222	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.239	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.211	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.272	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.221	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.212	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.249	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.21	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.279	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.23	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.229	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.242	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.2	M19.231	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other secondary arthrosis	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.1	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.172	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.171	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.149	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.111	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.14	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.141	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.11	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.12	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.129	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.119	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.13	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.142	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.121	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.17	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.139	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.112	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.122	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.131	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.179	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M19	M19.1	M19.132	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Post-traumatic arthrosis of other joints	740.12	Osteoarthrosis, localized, secondary	Yes	
M23	M23	M23	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Internal derangement of knee	835	Internal derangement of knee	Yes	
M23	M23.8	M23.8	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other internal derangements of knee	835	Internal derangement of knee	Yes	
M23	M23.8	M23.8X2	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other internal derangements of knee	835	Internal derangement of knee	Yes	
M23	M23.8	M23.8X1	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other internal derangements of knee	835	Internal derangement of knee	Yes	
M23	M23.8	M23.8X9	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other internal derangements of knee	835	Internal derangement of knee	Yes	
M23	M23.8	M23.8X	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other internal derangements of knee	835	Internal derangement of knee	Yes	
M23	M23.9	M23.9	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Internal derangement of knee, unspecified	835	Internal derangement of knee	Yes	
M23	M23.9	M23.91	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Internal derangement of knee, unspecified	835	Internal derangement of knee	Yes	
M23	M23.9	M23.92	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Internal derangement of knee, unspecified	835	Internal derangement of knee	Yes	
M23	M23.9	M23.90	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Internal derangement of knee, unspecified	835	Internal derangement of knee	Yes	
M23	M23.3	M23.331	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.303	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.302	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.321	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.30	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.369	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.309	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.300	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.349	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.332	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.306	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.34	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.3	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.361	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.35	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.312	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.319	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.329	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.342	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.311	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.341	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.32	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.305	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.351	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.31	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.322	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.339	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.301	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.36	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.33	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.304	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.352	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.362	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.359	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.3	M23.307	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other meniscus derangements	835	Internal derangement of knee	Yes	
M23	M23.4	M23.42	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Loose body in knee	835	Internal derangement of knee	Yes	
M23	M23.4	M23.4	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Loose body in knee	835	Internal derangement of knee	Yes	
M23	M23.4	M23.41	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Loose body in knee	835	Internal derangement of knee	Yes	
M23	M23.4	M23.40	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Loose body in knee	835	Internal derangement of knee	Yes	
M23	M23.2	M23.202	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.2	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.203	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.22	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.209	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.221	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.269	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.211	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.249	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.24	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.205	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.262	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.20	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.242	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.200	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.206	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.229	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.201	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.21	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.26	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.239	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.204	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.231	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.25	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.261	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.241	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.219	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.251	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.259	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.23	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.222	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.207	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.252	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.212	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.2	M23.232	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Derangement of meniscus due to old tear or injury	835	Internal derangement of knee	Yes	
M23	M23.6	M23.612	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other spontaneous disruption of ligament(s) of knee	835	Internal derangement of knee	Yes	
M23	M23.6	M23.64	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other spontaneous disruption of ligament(s) of knee	835	Internal derangement of knee	Yes	
M23	M23.6	M23.671	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other spontaneous disruption of ligament(s) of knee	835	Internal derangement of knee	Yes	
M23	M23.6	M23.641	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other spontaneous disruption of ligament(s) of knee	835	Internal derangement of knee	Yes	
M23	M23.6	M23.611	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other spontaneous disruption of ligament(s) of knee	835	Internal derangement of knee	Yes	
M23	M23.6	M23.619	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other spontaneous disruption of ligament(s) of knee	835	Internal derangement of knee	Yes	
M23	M23.6	M23.632	Diseases of the musculoskeletal system and connective tissue	Arthropathies	Other spontaneous disruption of ligament(s) of knee	835	Internal derangement of knee	Yes	
